Model,Subgroup,Number of Samples,Accuracy,Macro F1,FPR,FNR,Misclassification Rate
LogisticRegression,formal,10398,0.5723216003077515,0.5575148392971007,0.23133779213042885,0.4254315189519418,0.4276783996922485
LogisticRegression,other,1116,0.6335125448028673,0.5776886704510262,0.2199247239589777,0.42224231002707446,0.36648745519713266
LogisticRegression,emoji-heavy,696,0.5991379310344828,0.5815406427037516,0.20838032763320116,0.4243142762641252,0.40086206896551724
LogisticRegression,slang-heavy,60,0.6833333333333333,0.6824306645735216,0.16165070679434565,0.30467571644042235,0.31666666666666665
LogisticRegression,sarcasm,14,0.6428571428571429,0.6464646464646465,0.17724867724867724,0.2571428571428571,0.3571428571428571
LinearSVM,formal,10398,0.5792460088478554,0.5553192775226001,0.23354042019755583,0.43004506575838436,0.4207539911521446
LinearSVM,other,1116,0.6550179211469535,0.5870519193903943,0.2150009368273431,0.4203463912875314,0.34498207885304655
LinearSVM,emoji-heavy,696,0.5933908045977011,0.5710640115309746,0.21064053230719895,0.43594308428623635,0.4066091954022989
LinearSVM,slang-heavy,60,0.7,0.6958797032326446,0.1538987688098495,0.2986425339366516,0.30000000000000004
LinearSVM,sarcasm,14,0.6428571428571429,0.6464646464646465,0.17724867724867724,0.2571428571428571,0.3571428571428571
MultinomialNB,formal,10398,0.5748220811694557,0.5516869236823582,0.23852797205177043,0.4422927249202404,0.42517791883054434
MultinomialNB,other,1116,0.6120071684587813,0.5464157142250317,0.23044378942101115,0.44840429702815016,0.38799283154121866
MultinomialNB,emoji-heavy,696,0.5905172413793104,0.5614762634340326,0.21513162550518872,0.44718407144321354,0.4094827586206896
MultinomialNB,slang-heavy,60,0.5833333333333334,0.57652931230167,0.21637026903784773,0.4155354449472097,0.41666666666666663
MultinomialNB,sarcasm,14,0.5714285714285714,0.546031746031746,0.23544973544973544,0.44285714285714284,0.4285714285714286
RandomForest,formal,10398,0.5262550490478938,0.4083463544548884,0.2870017412328719,0.5301624933666703,0.4737449509521062
RandomForest,other,1116,0.6648745519713262,0.4748647877564684,0.2592556606552762,0.5310543366310814,0.33512544802867383
RandomForest,emoji-heavy,696,0.5301724137931034,0.4343611703421704,0.24106342571859815,0.5188025656336991,0.4698275862068966
RandomForest,slang-heavy,60,0.6,0.4868325845154559,0.22708618331053354,0.4638009049773755,0.4
RandomForest,sarcasm,14,0.5,0.24561403508771928,0.29365079365079366,0.6666666666666666,0.5
XGBoost,formal,10398,0.5464512406231967,0.45049754308554074,0.27545160811640107,0.5179918374623659,0.4535487593768033
XGBoost,other,1116,0.6505376344086021,0.44111060748495756,0.2757635948379609,0.5578613359976106,0.34946236559139787
XGBoost,emoji-heavy,696,0.5201149425287356,0.4374807987711214,0.2434057460206885,0.5200348531256901,0.4798850574712644
XGBoost,slang-heavy,60,0.5333333333333333,0.4001242621932277,0.26630186958504337,0.5354449472096531,0.4666666666666667
XGBoost,sarcasm,14,0.42857142857142855,0.2222222222222222,0.33068783068783064,0.7142857142857143,0.5714285714285714
